Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
10.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert
1.0,No,6.0,3.0,No,8.0,6.0,Extrovert
4.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
5.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
5.0,Yes,1.0,0.0,Yes,4.0,0.0,Introvert
0.0,No,4.0,7.0,No,4.0,5.0,Extrovert
2.0,No,9.0,3.0,No,6.0,7.0,Extrovert
2.0,No,9.0,4.0,No,6.268862911795962,8.0,Extrovert
0.0,No,8.0,4.0,No,11.0,6.0,Extrovert
5.435433932720794,Yes,5.865027403269556,3.3782440724266865,Yes,3.118255780770002,2.966795002192353,Introvert
11.0,Yes,1.0,0.0,Yes,3.0,2.0,Extrovert
0.0,No,5.0,7.0,No,9.0,4.0,Extrovert
3.0,No,4.0,4.0,No,11.0,7.0,Extrovert
10.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
10.26677537150843,Yes,7.539058811085278,6.219732967229455,Yes,2.143899258141237,8.514008848018792,Introvert
5.0,Yes,2.0,2.0,Yes,0.0,2.0,Introvert
9.0,Yes,0.0,0.0,No,2.0,2.0,Introvert
1.0,No,5.0,7.0,No,7.0,9.0,Extrovert
8.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
0.0,No,5.0,4.0,No,10.0,7.0,Extrovert
6.0,Yes,3.963354474982382,2.0,Yes,1.0,1.0,Introvert
1.0,No,5.0,6.0,No,10.0,3.0,Extrovert
9.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
6.0,Yes,2.0,2.0,Yes,0.0,2.0,Extrovert
5.0,Yes,2.0,2.0,Yes,6.268862911795962,0.0,Introvert
0.0,No,4.0,5.0,No,6.0,3.0,Extrovert
5.0,Yes,0.0,1.0,Yes,2.0,1.0,Introvert
3.0,No,4.0,3.0,No,14.0,8.0,Extrovert
5.684126126057737,Yes,0.3191698010834384,0.173583100110956,Yes,0.9862448109890696,7.450973376741685,Introvert
11.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
0.0,No,8.0,4.0,No,14.0,7.0,Extrovert
3.0,No,8.0,4.0,No,8.0,3.0,Extrovert
2.0,No,5.0,7.0,No,10.0,5.0,Extrovert
7.619229594773788,No,5.868013894749003,1.8357825926515456,Yes,1.8612016212318625,3.3014002092203394,Introvert
3.0,No,5.0,6.0,No,15.0,5.0,Extrovert
7.0,Yes,3.0,0.0,Yes,6.268862911795962,1.0,Introvert
6.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
2.0,No,7.0,4.0,No,6.0,4.0,Extrovert
5.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
6.0,Yes,3.0,1.0,Yes,0.0,1.0,Introvert
5.0,Yes,1.0,0.0,Yes,5.0,0.0,Introvert
4.0,Yes,0.0,1.0,Yes,4.0,1.0,Introvert
9.445603424473434,Yes,8.430003094041504,4.417237083808675,Yes,4.216922541701136,0.5279506031031079,Introvert
10.054532161024117,Yes,6.610397505612275,1.840914845164081,No,11.014784210527132,6.838450969126458,Introvert
10.633411299858242,Yes,2.963385178227915,6.86145133226387,Yes,6.73438473401398,5.946519251480627,Introvert
8.0,Yes,3.0,3.0,Yes,4.0,0.0,Introvert
4.0,Yes,2.0,2.0,Yes,2.0,2.0,Introvert
2.0,No,7.0,6.0,No,12.0,8.0,Introvert
9.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
0.0,No,6.0,6.0,No,11.0,8.0,Extrovert
3.0,No,5.0,7.0,No,10.0,7.0,Extrovert
10.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
2.0,No,5.0,7.0,No,11.0,9.0,Extrovert
7.0,Yes,1.0,1.0,Yes,2.0,1.0,Extrovert
4.0,Yes,3.0,0.0,Yes,4.0,0.0,Introvert
4.0,Yes,3.0,1.0,Yes,3.0,0.0,Introvert
1.4591440675222764,Yes,2.2733578433269432,2.0479603800302444,Yes,12.664680814279803,5.9077780389492505,Introvert
2.0,No,4.0,5.0,No,14.0,9.0,Extrovert
10.112443141655312,Yes,6.20773036653828,6.7442567919241405,Yes,1.1800984910766736,2.5293819074160617,Introvert
0.951607763310494,Yes,8.63240499778272,0.3250418143760617,Yes,2.877285003197618,5.873538571696406,Introvert
5.0,Yes,0.0,1.0,Yes,3.0,2.0,Introvert
2.0,No,9.0,5.0,No,6.0,5.0,Extrovert
7.0,Yes,2.0,2.0,Yes,2.0,0.0,Introvert
9.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
0.0,No,7.0,3.0,No,13.0,6.0,Extrovert
0.0,No,6.0,5.0,No,11.0,5.0,Introvert
4.505816002819881,No,4.0,6.0,No,12.0,3.0,Extrovert
9.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
1.0,No,4.0,5.0,No,13.0,5.0,Extrovert
9.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
3.736365065850332,Yes,5.758975200643525,6.787483851152846,Yes,3.9216507387022377,1.432209952394298,Introvert
3.0,No,6.0,7.0,No,8.0,4.0,Extrovert
8.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
0.0,No,5.0,4.0,No,9.0,10.0,Extrovert
5.0,Yes,1.0,1.0,Yes,5.0,0.0,Introvert
2.0,No,9.0,5.0,No,6.0,9.0,Extrovert
6.0,Yes,0.0,1.0,Yes,2.0,1.0,Extrovert
8.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert
10.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
7.0,Yes,3.0,2.0,No,4.0,0.0,Introvert
3.0,No,8.0,6.0,No,7.0,9.0,Extrovert
11.0,Yes,1.0,2.0,No,4.0,2.0,Introvert
5.099438979718738,Yes,6.605841660737879,6.270249255589387,Yes,4.66457572692935,6.473807734728159,Introvert
4.505816002819881,No,0.0,2.0,Yes,6.268862911795962,2.0,Introvert
10.0,Yes,0.0,0.0,Yes,5.0,2.0,Introvert
5.0,Yes,3.0,1.0,Yes,1.0,1.0,Extrovert
8.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
6.0,Yes,1.0,0.0,Yes,0.0,2.0,Introvert
8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
0.0,No,7.0,5.0,No,8.0,3.0,Extrovert
1.0,No,7.0,4.0,No,6.0,5.0,Extrovert
3.0,No,5.0,4.0,No,6.0,3.0,Extrovert
3.0,No,8.0,5.0,No,9.0,4.0,Extrovert
9.0,Yes,1.0,2.0,Yes,0.0,0.0,Introvert
0.0,No,4.0,7.0,No,11.0,3.0,Extrovert
9.769663818670152,Yes,3.190482263881312,5.18854049334661,No,7.20945387440463,6.384215775839282,Introvert
7.0,Yes,2.0,0.0,Yes,3.0,2.0,Extrovert
9.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
1.0,No,9.0,5.0,No,9.0,10.0,Extrovert
9.0,Yes,0.0,2.0,Yes,2.0,1.0,Introvert
4.0,Yes,0.0,1.0,Yes,0.0,0.0,Introvert
2.0,No,4.0,4.0,No,8.0,6.0,Extrovert
6.0,Yes,1.0,0.0,Yes,3.0,1.0,Introvert
2.0,No,9.0,4.0,No,15.0,5.0,Extrovert
5.0,Yes,0.0,0.0,Yes,3.0,1.0,Introvert
1.0,No,6.0,6.0,No,11.0,7.0,Extrovert
1.0,No,5.0,6.0,No,8.0,10.0,Extrovert
0.0,No,7.0,6.0,No,8.0,5.0,Introvert
0.0,No,8.0,5.0,No,11.0,6.0,Extrovert
1.0,No,5.0,6.0,No,8.0,5.0,Extrovert
11.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
0.0,No,8.0,4.0,No,9.0,3.0,Extrovert
6.0,Yes,0.0,0.0,Yes,1.0,2.0,Introvert
0.0,No,8.0,5.0,No,9.0,5.0,Extrovert
4.0,Yes,3.963354474982382,2.0,Yes,6.268862911795962,0.0,Introvert
2.0,No,8.0,4.0,No,11.0,9.0,Extrovert
3.0,No,7.0,5.0,No,15.0,6.0,Extrovert
8.0,Yes,3.0,0.0,Yes,4.0,2.0,Introvert
11.0,Yes,1.0,2.0,Yes,3.0,0.0,Introvert
3.0,No,9.0,4.0,No,13.0,5.0,Extrovert
3.0,No,6.0,5.0,No,14.0,6.0,Extrovert
1.0,No,6.0,5.0,No,9.0,4.0,Extrovert
11.0,Yes,1.0,2.0,Yes,2.0,2.0,Introvert
10.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
0.0,No,9.0,6.0,No,8.0,6.0,Extrovert
8.0,Yes,1.0,0.0,Yes,1.0,0.0,Extrovert
8.0,Yes,0.0,0.0,Yes,4.0,0.0,Extrovert
6.728729685663186,Yes,3.8715237395102897,3.92733814721602,No,5.238317151601391,0.4553570324981663,Introvert
0.0,No,9.0,3.0,No,11.0,3.0,Extrovert
3.0,No,6.0,4.0,No,5.0,3.564726631393298,Extrovert
2.0,No,8.0,4.0,No,5.0,4.0,Extrovert
4.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
7.0,Yes,0.0,2.0,Yes,5.0,1.0,Introvert
4.0,Yes,0.0,1.0,Yes,3.0,1.0,Introvert
3.0,No,9.0,3.0,No,6.268862911795962,5.0,Extrovert
10.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
11.0,Yes,2.0,1.0,Yes,3.0,1.0,Extrovert
8.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
1.0,No,3.0,6.0,No,4.0,7.0,Extrovert
7.479419721175956,Yes,6.408279729130429,0.4225926275952008,Yes,11.51136002039433,5.788258390084111,Introvert
1.9523788254320973,Yes,4.8120480544613455,1.4598838221392794,Yes,4.878661746354117,7.419283094482338,Introvert
6.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert
10.51133938294685,Yes,4.100464005858536,1.6530960676842743,Yes,4.879075041097806,0.9299343647087585,Introvert
9.0,Yes,3.963354474982382,2.0,Yes,6.268862911795962,0.0,Introvert
4.0,Yes,0.0,2.0,Yes,0.0,1.0,Extrovert
7.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
10.0,Yes,3.0,2.0,Yes,4.0,2.0,Introvert
5.0,Yes,2.0,0.0,Yes,4.0,2.0,Introvert
2.0,No,7.0,5.0,No,14.0,3.0,Extrovert
2.0,No,4.0,5.0,No,8.0,3.0,Extrovert
9.0,Yes,2.0,0.0,Yes,4.0,1.0,Introvert
1.0,No,3.963354474982382,6.0,No,8.0,6.0,Extrovert
2.0,No,7.0,4.0,No,7.0,5.0,Extrovert
6.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
3.0,No,3.963354474982382,6.0,No,12.0,6.0,Extrovert
6.855228037695062,No,5.361160715185972,0.5724359920668913,Yes,6.541638215480027,1.6021689467123963,Introvert
2.0,No,4.0,6.0,No,11.0,7.0,Extrovert
9.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
11.0,Yes,2.0,0.0,Yes,1.0,0.0,Extrovert
3.0,No,7.0,4.0,No,11.0,3.0,Extrovert
8.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
1.9968727433710949,Yes,8.380124845357377,2.892764023494654,Yes,13.520917302489504,6.684815563655793,Introvert
6.568930542435923,Yes,5.034888584001238,1.3753254673368451,No,4.965526769451186,3.907398671792479,Introvert
2.0,No,8.0,6.0,No,14.0,6.0,Extrovert
1.0,No,7.0,4.0,No,14.0,6.0,Extrovert
1.0,No,9.0,5.0,No,14.0,4.0,Extrovert
1.0,No,9.0,5.0,No,7.0,3.0,Extrovert
1.0,No,4.0,5.0,No,6.268862911795962,6.0,Extrovert
3.0,No,6.0,6.0,No,10.0,7.0,Extrovert
11.0,Yes,1.0,2.0,Yes,2.0,2.0,Extrovert
2.0,No,7.0,5.0,No,14.0,9.0,Extrovert
9.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
4.0,Yes,3.0,0.0,Yes,0.0,0.0,Extrovert
2.0,No,7.0,5.0,No,14.0,5.0,Introvert
0.0,No,4.0,4.0,No,7.0,7.0,Introvert
4.505816002819881,No,8.0,4.0,No,6.0,5.0,Extrovert
0.0,No,4.0,7.0,No,7.0,7.0,Extrovert
2.0,No,8.0,4.0,No,9.0,8.0,Extrovert
0.0,No,7.0,7.0,No,8.0,6.0,Extrovert
0.0,No,7.0,5.0,No,12.0,3.0,Extrovert
11.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
7.0,Yes,0.0,0.0,Yes,1.0,1.0,Extrovert
1.0,No,4.0,3.0,No,6.268862911795962,5.0,Extrovert
7.0,Yes,3.963354474982382,1.0,Yes,2.0,1.0,Introvert
4.505816002819881,Yes,3.0,2.0,Yes,2.0,1.0,Introvert
1.0,No,9.0,3.0,No,14.0,7.0,Extrovert
11.0,Yes,0.0,0.0,Yes,0.0,0.0,Extrovert
0.0,No,9.0,5.0,No,6.0,7.0,Extrovert
1.0,No,4.0,3.0,No,6.0,4.0,Extrovert
5.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
6.0,Yes,1.0,2.0,Yes,4.0,0.0,Introvert
7.0,Yes,2.0,2.0,Yes,4.0,1.0,Extrovert
2.0,No,4.0,7.0,No,9.0,8.0,Extrovert
10.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
8.967277540261028,No,5.4786541923722,2.768773828555188,Yes,10.955768369739168,1.2028444280810433,Introvert
3.0,No,4.0,4.0,No,12.0,5.0,Extrovert
1.0,No,4.0,3.0,No,6.0,5.0,Extrovert
1.0,No,5.0,3.0,No,10.0,7.0,Extrovert
6.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
4.0,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
0.0,No,4.0,6.0,No,11.0,4.0,Extrovert
3.0,No,3.0,7.0,No,8.0,7.0,Extrovert
9.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
2.0,No,6.0,5.0,No,7.0,3.0,Extrovert
10.0,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
1.0,No,9.0,6.0,No,14.0,9.0,Extrovert
11.0,Yes,3.0,1.0,Yes,5.0,2.0,Introvert
1.0,No,9.0,5.0,No,7.0,8.0,Extrovert
7.0,Yes,0.0,2.0,Yes,5.0,1.0,Extrovert
1.0,No,9.0,5.0,No,12.0,9.0,Extrovert
3.0,No,4.0,6.0,No,5.0,9.0,Extrovert
10.917260281573254,Yes,7.66464920011708,1.3643464956124962,Yes,6.38510673676987,1.1233294976274224,Introvert
6.0,Yes,3.0,1.0,Yes,5.0,2.0,Introvert
11.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
0.0,No,7.0,4.0,No,5.0,3.0,Extrovert
7.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
3.0,No,7.0,4.0,No,9.0,5.0,Extrovert
0.0045654714853718,No,4.288816455637061,0.7952110489450271,Yes,8.933802520191652,6.242091014956703,Introvert
10.165868575394164,No,7.159718383758396,6.720480862616384,Yes,10.690421235484497,1.0873790142182111,Introvert
3.0,No,4.0,7.0,No,12.0,9.0,Extrovert
7.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
10.0,Yes,3.0,1.0,Yes,5.0,0.0,Introvert
5.0,Yes,0.0,1.0,Yes,4.0,1.0,Introvert
0.0,No,8.0,3.0,No,8.0,5.0,Extrovert
1.0,No,4.0,5.0,No,14.0,4.0,Extrovert
5.0,Yes,3.0,0.0,Yes,4.0,2.0,Introvert
11.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert
6.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
2.0,No,8.0,4.0,No,15.0,4.0,Extrovert
0.0,No,9.0,6.0,No,8.0,3.0,Extrovert
7.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
2.0,No,6.0,4.0,No,15.0,3.0,Extrovert
1.0,No,9.0,6.0,No,12.0,4.0,Extrovert
5.0,Yes,2.0,1.0,Yes,1.0,0.0,Introvert
0.0,No,6.0,5.0,No,14.0,6.0,Extrovert
3.0,No,8.0,6.0,No,7.0,5.0,Extrovert
10.0,Yes,2.0,0.0,Yes,2.0,1.0,Extrovert
6.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
1.0,No,5.0,4.0,No,14.0,7.0,Extrovert
3.0,No,6.0,4.0,No,7.0,5.0,Extrovert
11.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
2.0,No,7.0,6.0,No,6.0,8.0,Extrovert
4.505816002819881,No,7.0,6.0,No,12.0,8.0,Extrovert
2.0,No,5.0,5.0,No,10.0,6.0,Extrovert
2.0,No,8.0,6.0,No,7.0,4.0,Extrovert
0.0,No,6.0,4.0,No,8.0,6.0,Extrovert
6.0,Yes,2.0,0.0,Yes,3.0,0.0,Introvert
2.0,No,4.0,4.0,No,7.0,8.0,Extrovert
7.0,Yes,3.0,1.0,Yes,1.0,1.0,Introvert
2.16355312331046,Yes,2.434681323320543,4.563095291553003,Yes,7.778350153974943,1.8651549118326205,Introvert
0.0,No,3.0,7.0,No,6.0,3.0,Extrovert
8.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
2.0,No,6.0,3.0,No,9.0,8.0,Extrovert
3.0,No,5.0,4.0,No,9.0,5.0,Extrovert
4.505816002819881,No,8.0,4.0,No,12.0,4.0,Extrovert
6.0,Yes,2.0,1.0,Yes,6.268862911795962,0.0,Introvert
3.0,No,6.0,7.0,No,6.0,9.0,Extrovert
10.673452117586576,No,6.986685176620811,1.2632089432888447,Yes,7.581106328154001,3.834985049187952,Introvert
0.0,No,4.0,6.0,No,8.0,9.0,Extrovert
4.0,Yes,3.0,2.0,Yes,2.0,2.0,Extrovert
0.0,No,8.0,5.0,No,5.0,9.0,Extrovert
6.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
8.0,Yes,3.0,0.0,Yes,3.0,0.0,Introvert
3.0,No,4.0,5.0,No,11.0,5.0,Extrovert
1.0,No,6.0,5.0,No,14.0,5.0,Extrovert
9.853993213322015,Yes,2.6795857434209536,6.3528633365142975,Yes,9.954280806548589,2.6949540805829018,Introvert
3.0,No,5.0,6.0,No,7.0,4.0,Extrovert
6.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
1.0,No,8.0,6.0,No,10.0,7.0,Extrovert
2.0,No,6.0,3.0,No,7.0,4.0,Extrovert
3.0,No,6.0,6.0,No,8.0,6.0,Extrovert
10.631796682756546,Yes,4.5666480068264095,6.722990604329934,Yes,13.868164002850904,3.0937591234349098,Introvert
9.0,Yes,2.0,3.0,Yes,2.0,1.0,Introvert
8.0,Yes,3.0,2.0,Yes,3.0,0.0,Introvert
8.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
4.0,No,9.0,4.0,No,8.0,10.0,Extrovert
1.0,No,4.0,5.0,No,7.0,7.0,Extrovert
10.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
3.0,No,6.0,3.0,No,5.0,9.0,Extrovert
3.0,No,6.0,4.0,No,8.0,9.0,Extrovert
5.0,Yes,3.0,0.0,Yes,5.0,1.0,Introvert
0.2044469552790989,Yes,2.000938304645705,5.726060853906547,Yes,0.0323624987697186,6.955424216231416,Introvert
4.0,No,7.0,6.0,No,7.0,9.0,Extrovert
1.0,No,6.0,7.0,No,8.0,3.564726631393298,Extrovert
2.0,No,8.0,4.0,No,7.0,8.0,Extrovert
5.0,Yes,3.0,1.0,Yes,3.0,1.0,Introvert
9.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert
10.0,Yes,1.0,1.0,Yes,4.0,1.0,Introvert
0.0,No,3.0,5.0,No,7.0,3.0,Extrovert
10.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
11.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
1.0,No,5.0,6.0,No,4.0,9.0,Extrovert
0.0,No,6.0,5.0,No,10.0,3.564726631393298,Extrovert
2.0,No,6.0,3.0,No,11.0,7.0,Extrovert
10.567244484335708,Yes,4.65392549256455,2.4309636258325464,Yes,6.490998984554132,8.451763468450281,Introvert
2.213839821690958,No,8.364331851359973,5.489888367550985,Yes,4.894345535276701,4.973294471600316,Introvert
2.0,No,9.0,7.0,No,13.0,10.0,Extrovert
2.0,No,9.0,4.0,No,9.0,7.0,Extrovert
3.0,No,6.0,7.0,No,13.0,6.0,Extrovert
3.0,No,8.0,7.0,No,7.0,10.0,Extrovert
10.0,Yes,3.0,0.0,Yes,0.0,0.0,Introvert
3.0,No,7.0,6.0,No,6.0,3.0,Extrovert
10.0,Yes,1.0,0.0,Yes,0.0,3.0,Introvert
9.0,Yes,2.0,1.0,Yes,4.0,0.0,Extrovert
0.0,No,8.0,5.0,No,9.0,3.0,Extrovert
5.0,Yes,1.0,2.0,Yes,4.0,0.0,Introvert
8.75884014028295,Yes,8.782591004510078,2.464768416622357,Yes,7.327794425066143,4.637111490655171,Introvert
7.0,Yes,0.0,1.0,Yes,2.0,2.0,Introvert
3.0,No,9.0,7.0,No,10.0,6.0,Extrovert
6.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
8.0,Yes,3.0,0.0,Yes,0.0,0.0,Introvert
1.073865234022613,Yes,2.3406662140029177,4.15983163185152,Yes,0.9924763810244146,1.5425480782250336,Introvert
9.0,Yes,0.0,1.0,Yes,4.0,1.0,Introvert
2.0,No,7.0,4.0,No,10.0,9.0,Extrovert
2.0,No,7.0,4.0,No,14.0,6.0,Extrovert
11.0,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
3.0,No,9.0,7.0,No,14.0,4.0,Extrovert
10.970220453696989,Yes,7.4277213879964625,3.240277800469252,Yes,0.0215226717560996,1.4287104837161375,Introvert
0.8783239478998166,Yes,4.9598950879315655,6.5525903701100585,Yes,12.405806537991324,0.7964667677290341,Introvert
3.0,No,5.0,6.0,No,5.0,9.0,Extrovert
0.0,No,4.0,4.0,No,10.0,9.0,Extrovert
8.252258302879213,Yes,7.099232293753185,0.5213924229050445,Yes,8.600028910622646,7.288680988518734,Introvert
2.0,No,3.963354474982382,5.0,No,9.0,8.0,Extrovert
0.0,No,5.0,7.0,No,6.0,7.0,Extrovert
3.0,No,8.0,4.0,No,12.0,4.0,Extrovert
3.0,No,4.0,5.0,No,6.0,3.564726631393298,Extrovert
9.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
4.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
1.0,No,8.0,4.0,No,5.0,5.0,Extrovert
10.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
8.751817965662392,Yes,1.565075542395037,0.7448894333596532,Yes,5.472638459660787,4.405487045127446,Introvert
3.211751874815415,Yes,6.397508289423819,5.876635395215515,Yes,5.312592088159083,6.573711133198024,Introvert
10.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
1.0,No,4.0,4.0,No,7.0,5.0,Extrovert
3.0,No,3.963354474982382,5.0,No,8.0,7.0,Extrovert
3.1784131578661152,Yes,4.330323359020958,2.260038492276543,Yes,1.2281205992007438,7.26065916509916,Introvert
5.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2.0,No,6.0,3.0,No,15.0,5.0,Extrovert
3.0,No,5.0,4.0,No,8.0,4.0,Extrovert
3.0,No,7.0,5.0,No,6.268862911795962,7.0,Extrovert
0.0,No,7.0,3.0,No,12.0,4.0,Extrovert
1.0,No,8.0,4.0,No,14.0,7.0,Extrovert
2.0,No,9.0,7.0,No,7.0,8.0,Extrovert
1.0,No,5.0,6.0,No,10.0,6.0,Extrovert
7.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
2.0,No,6.0,5.0,No,4.0,9.0,Extrovert
8.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
7.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
7.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
10.0,Yes,1.0,1.0,Yes,4.0,2.0,Introvert
9.0,Yes,1.0,2.0,Yes,1.0,2.0,Extrovert
10.0,Yes,2.0,3.0,Yes,2.0,2.0,Introvert
8.0,Yes,3.963354474982382,0.0,Yes,6.268862911795962,3.564726631393298,Introvert
5.0,Yes,3.0,0.0,Yes,2.0,1.0,Introvert
10.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
4.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
6.0,Yes,3.0,2.0,Yes,5.0,0.0,Introvert
9.0,Yes,3.0,2.0,Yes,4.0,2.0,Introvert
5.0,Yes,2.0,2.0,Yes,5.0,0.0,Introvert
7.0,Yes,1.0,0.0,Yes,2.0,2.0,Introvert
1.0,No,6.0,4.0,No,5.0,6.0,Extrovert
9.0,Yes,1.0,1.0,Yes,2.0,1.0,Introvert
1.0,No,4.0,6.0,No,6.0,9.0,Extrovert
6.0,Yes,3.0,1.0,Yes,0.0,0.0,Introvert
5.0,Yes,2.0,0.0,Yes,4.0,0.0,Introvert
1.879992301563204,Yes,8.066371574174676,3.19398196674082,Yes,11.95847221985138,6.509247672070074,Introvert
